title,address,price,connect,size,content,detial
近中山站.靜巷電梯獨立大套房,台北市中山區中山北路一段,"16,300 元",仲介(收費)：永禾房屋簡先生,14.31 坪,1房(室)0廳1衛|樓層：2/7,https://rent.housefun.com.tw/rent/house/1589168/
近中山站.靜巷電梯獨立大套房,台北市中山區中山北路一段,"16,300 元",仲介(收費)：永禾房屋簡先生,14.31 坪,1房(室)0廳1衛|樓層：2/7,https://rent.housefun.com.tw/rent/house/1120/
近雙連站馬偕.高樓4米2.管理好,台北市中山區中山北路二段,"27,500 元",仲介(收費)：永禾房屋簡先生,12.8 坪,1房(室)1廳2衛|樓層：11/12,https://rent.housefun.com.tw/rent/house/1609404/
精緻4米2大空間.有陽台.近捷運,台北市中山區中山北路二段,"25,000 元",仲介(收費)：永禾房屋簡先生,11.1 坪,1房(室)1廳1衛|樓層：10/14,https://rent.housefun.com.tw/rent/house/1609503/
近中山站.靜巷電梯獨立大套房,台北市中山區中山北路一段,"16,300 元",仲介(收費)：永禾房屋簡先生,14.31 坪,1房(室)0廳1衛|樓層：2/7,https://rent.housefun.com.tw/rent/house/1609403/
電梯獨立大套房，近捷運，有陽台，採光佳,台北市中山區天祥路,"25,000 元",仲介(收費)：永禾房屋簡先生,13.6 坪,1房(室)0廳1衛|樓層：3/12,https://rent.housefun.com.tw/rent/house/1596510/
挑高大一房有陽台.高樓邊間採光好,台北市中山區新生北路二段,"30,000 元",仲介(收費)：永禾房屋簡先生,17.93 坪,1房(室)1廳1衛|樓層：11/12,https://rent.housefun.com.tw/rent/house/1586650/
近長春路.精緻電梯大套房.高樓景觀佳,台北市中山區林森北路,"21,000 元",仲介(收費)：永禾房屋簡先生,10.44 坪,1房(室)0廳1衛|樓層：8/15,https://rent.housefun.com.tw/rent/house/1609587/
挑高3米6.有陽台天然瓦斯.近雙連站,台北市中山區新生北路二段,"19,000 元",仲介(收費)：永禾房屋簡先生,9.58 坪,1房(室)1廳1衛|樓層：5/12,https://rent.housefun.com.tw/rent/house/1609504/
近雙連馬偕.精緻3米6有陽台.天然瓦斯,台北市中山區新生北路二段,"20,000 元",仲介(收費)：永禾房屋簡先生,9.58 坪,1房(室)1廳1衛|樓層：4/12,https://rent.housefun.com.tw/rent/house/1601317/
外商首選.精緻大空間.採光通風好,台北市中山區林森北路,"40,000 元",仲介(收費)：永禾房屋簡先生,22.83 坪,1房(室)1廳1衛|樓層：8/15,https://rent.housefun.com.tw/rent/house/1589158/
晶麒捷運小資美居,台北市萬華區康定路,"30,000 元",仲介(收費)：永慶房屋(股)公司艋舺直營店,31.84 坪,2房(室)1廳1衛|樓層：5/26,https://rent.housefun.com.tw/rent/house/1610638/
西門中華透天金店,台北市萬華區中華路一段,"250,000 元",仲介(收費)：永慶房屋(股)公司中正一部高資產服務中心專營店面,33.6 坪,0房(室)1廳1衛|樓層：1~2/2,https://rent.housefun.com.tw/rent/house/1610625/
小型辦公室(適合2~6人)/營業登記/虛擬辦公室,台北市中山區民權東路二段,"16,000 元",房東：張先生,3 坪,1房(室)1廳1衛|樓層：2/12,https://rent.housefun.com.tw/rent/house/1611803/
限女/近古亭/廈門街雅房2女共用衛浴,台北市中正區厦門街,"12,500 元",房東：張先生,7 坪,1房(室)0廳0衛|樓層：5/5,https://rent.housefun.com.tw/rent/house/1609456/
捷運南京復興站、2房1廳1衛、全新裝潢,台北市中山區龍江路,"29,000 元",房東：沈先生,9 坪,2房(室)1廳1衛|樓層：3/5,https://rent.housefun.com.tw/rent/house/1605295/
B20913: 近西門捷運站,台北市萬華區昆明街,"36,000 元",仲介(收費)：張媽媽租屋蔡先生,64.6 坪,3房(室)3廳3衛|樓層：4/6,https://rent.housefun.com.tw/rent/house/1612590/
B20913: 近西門捷運站,台北市萬華區昆明街,"36,000 元",仲介(收費)：張媽媽租屋蔡先生,64.6 坪,3房(室)3廳3衛|樓層：4/6,https://rent.housefun.com.tw/rent/house/1120/
樂活,台北市萬華區和平西路三段,"6,500 元",房東：謝太太,5 坪,6房(室)0廳2衛|樓層：4/5,https://rent.housefun.com.tw/rent/house/1611679/
大直 內湖 實踐大學 套房-D,台北市中山區大直街67巷1-1號5樓,"9,000 元",房東：孫先生,8 坪,1房(室)0廳1衛|樓層：5/5,https://rent.housefun.com.tw/rent/house/1040124/
大直美麗華商圈/劍南捷運~優質商辦~,台北市中山區樂群三路,"156,000 元",仲介(收費)：飛行鯨魚陳小姐,130 坪,1房(室)1廳2衛|樓層：7/8,https://rent.housefun.com.tw/rent/house/1595302/
向陽路~近昆陽捷運~南軟~優質辦公~,台北市南港區向陽路,"75,000 元",仲介(收費)：飛行鯨魚陳小姐,76.63 坪,1房(室)1廳1衛|樓層：8/14,https://rent.housefun.com.tw/rent/house/1587712/
向陽路~近昆陽捷運~南軟~優質辦公~,台北市南港區向陽路,"75,000 元",仲介(收費)：飛行鯨魚陳小姐,76.63 坪,1房(室)1廳1衛|樓層：8/14,https://rent.housefun.com.tw/rent/house/1120/
近捷運~美麗華商圈~優質店面~,台北市中山區敬業一路,"62,000 元",仲介(收費)：飛行鯨魚陳小姐,24.01 坪,1房(室)0廳1衛|樓層：1/9,https://rent.housefun.com.tw/rent/house/1587494/
近瑞光路~內湖五期~優質店面~辦公,台北市內湖區石潭路,"69,000 元",仲介(收費)：飛行鯨魚陳小姐,53.13 坪,0房(室)1廳1衛|樓層：1/14,https://rent.housefun.com.tw/rent/house/1585008/
中國信託/南軟園區~挑高優質店辦~,台北市南港區重陽路,"80,000 元",仲介(收費)：飛行鯨魚陳小姐,61.46 坪,1房(室)1廳1衛|樓層：1/12,https://rent.housefun.com.tw/rent/house/1574717/
大直美麗華商圈/劍南捷運~優質辦公室,台北市中山區樂群三路,"158,000 元",仲介(收費)：飛行鯨魚陳小姐,122.11 坪,6房(室)1廳2衛|樓層：5/8,https://rent.housefun.com.tw/rent/house/1407871/
B20912: 近龍山寺捷運站,台北市萬華區桂林路,"20,000 元",仲介(收費)：張媽媽租屋蔡先生,18 坪,1房(室)1廳1衛|樓層：5/12,https://rent.housefun.com.tw/rent/house/1612583/
限時簽約 享有折扣 明德捷運 新品-套房.雅房,台北市北投區明德路,"6,000 元",房東：黃小姐,5 坪,1房(室)0廳1衛|樓層：1/5,https://rent.housefun.com.tw/rent/house/1599500/
北投捷運站附近大業中央北路口套房@可短租,台北市北投區大業路,"9,999 元",房東：張先生,7 坪,1房(室)1廳1衛|樓層：4/5,https://rent.housefun.com.tw/rent/house/1612376/
人潮超多士林夜市頭黃金店面攤位,台北市士林區文林路,"300,000 元",房東：李小姐,25 坪,0房(室)0廳0衛|樓層：1/7,https://rent.housefun.com.tw/rent/house/1612372/
B20911: 近永春捷運站,台北市信義區忠孝東路五段,"48,000 元",仲介(收費)：張媽媽租屋蔡先生,35 坪,3房(室)2廳2衛|樓層：5/8,https://rent.housefun.com.tw/rent/house/1612580/
莎士比亞高樓景觀,台北市大安區辛亥路二段,"70,000 元",仲介(收費)：永慶房屋(股)公司師大直營店,70.47 坪,5房(室)2廳3衛|樓層：19/25,https://rent.housefun.com.tw/rent/house/1610766/
B20910: 近雙連捷運站,台北市大同區歸綏街,"32,000 元",仲介(收費)：張媽媽租屋蔡先生,22 坪,2房(室)1廳1衛|樓層：2/10,https://rent.housefun.com.tw/rent/house/1612576/
鄰近3個捷運站，傢具齊全有冷氣、冰箱、網路及第四台,台北市大安區瑞安街,"6,000 元",二房東(非仲介)：洪芯惠,4.2 坪,1房(室)0廳0衛|樓層：2/4,https://rent.housefun.com.tw/rent/house/857286/
景美瀚星 獨立套房,台北市文山區景興路188號,"13,000 元",代理人(不收費)：吳小姐,7 坪,1房(室)0廳1衛|樓層：16/24,https://rent.housefun.com.tw/rent/house/1429081/
景美瀚星 獨立套房,台北市文山區景興路188號,"13,000 元",代理人(不收費)：吳小姐,7 坪,1房(室)0廳1衛|樓層：16/24,https://rent.housefun.com.tw/rent/house/1120/
B20909: 近中山國小捷運站,台北市中山區林森北路,"56,000 元",仲介(收費)：張媽媽租屋蔡先生,46 坪,3房(室)2廳2衛|樓層：7/9,https://rent.housefun.com.tw/rent/house/1612573/
雅房分租〈景美捷運站附近〉,台北市文山區羅斯福路六段300號,"3,900 元",房東：水鎮水鎮,4.5 坪,3房(室)2廳1衛|樓層：3/4,https://rent.housefun.com.tw/rent/house/1612314/
捷運小巨蛋站敦化北路近長庚醫院優質3房,台北市松山區敦化北路,"55,000 元",仲介(收費)：鯨魚租屋黃先生,42.57 坪,3房(室)2廳2衛|樓層：3/7,https://rent.housefun.com.tw/rent/house/1612570/
大套房 ，清靜 ，單純，生活機能佳，獨立空間,台北市松山區南京東路五段,"12,000 元",代理人(不收費)：黄先生,7.5 坪,1房(室)0廳1衛|樓層：2/6,https://rent.housefun.com.tw/rent/house/1603689/
捷運忠孝敦化站八德路三段靜巷電梯大三房,台北市松山區八德路三段,"46,000 元",仲介(收費)：鯨魚租屋黃先生,39.12 坪,3房(室)2廳2衛|樓層：3/7,https://rent.housefun.com.tw/rent/house/1612568/
各項機能便利工業區B1客貨梯可達適倉辦需求空間,台北市士林區後港街,"63,000 元",仲介(收費)：大蕎房屋林先生,90 坪,--房(室)--廳--衛|樓層：-1/,https://rent.housefun.com.tw/rent/house/1557517/
可商業登記方正明亮一層一席租金含2車位,台北市大同區重慶北路三段,"200,000 元",仲介(收費)：大蕎房屋林先生,154 坪,0房(室)0廳2衛|樓層：5/11,https://rent.housefun.com.tw/rent/house/1553590/
商業區方正明亮可商業登記商辦,台北市大同區太原路,"55,000 元",仲介(收費)：大蕎房屋林先生,40 坪,1房(室)0廳1衛|樓層：4/11,https://rent.housefun.com.tw/rent/house/1557540/
近捷運小巨蛋站有隔間商三區純商辦明亮方正,台北市松山區南京東路四段,"55,000 元",仲介(收費)：大蕎房屋林先生,49.46 坪,7房(室)0廳2衛|樓層：5/12,https://rent.housefun.com.tw/rent/house/1552765/
近捷運石牌站商圈各項機能佳停車便利,台北市北投區裕民六路,"50,000 元",仲介(收費)：大蕎房屋林先生,37.9 坪,3房(室)2廳2衛|樓層：6/10,https://rent.housefun.com.tw/rent/house/1583185/
近捷運劍潭站優質大器辦公室,台北市士林區承德路四段,"120,000 元",仲介(收費)：大蕎房屋林先生,50 坪,2房(室)0廳0衛|樓層：5/12,https://rent.housefun.com.tw/rent/house/1583177/
臨重慶北路二段可商業登記漂亮辦公室,台北市大同區重慶北路二段,"35,000 元",仲介(收費)：大蕎房屋林先生,31 坪,3房(室)0廳2衛|樓層：12/12,https://rent.housefun.com.tw/rent/house/1582941/
臨重慶北路二段可商業登記漂亮辦公室,台北市大同區重慶北路二段,"35,000 元",仲介(收費)：大蕎房屋林先生,31 坪,3房(室)0廳2衛|樓層：12/12,https://rent.housefun.com.tw/rent/house/1120/
面對慶城公園採光佳双捷運生活工作機能特佳,台北市松山區南京東路三段,"66,000 元",仲介(收費)：大蕎房屋林先生,55 坪,3房(室)2廳2衛|樓層：3/6,https://rent.housefun.com.tw/rent/house/1531766/
地標醒目近捷運站含空調商辦大樓,台北市松山區復興南路一段,"73,999 元",仲介(收費)：大蕎房屋林先生,52 坪,0房(室)0廳3衛|樓層：5/14,https://rent.housefun.com.tw/rent/house/1528735/
典雅明亮屋況佳交通便利優等辦公室,台北市中山區中山北路一段,"73,500 元",仲介(收費)：大蕎房屋林先生,46 坪,0房(室)0廳2衛|樓層：6/7,https://rent.housefun.com.tw/rent/house/1510198/
